as_of,ticker,shares_outstanding,total_assets,close
2026-08-11,XLB,71923696.0,8255610880.0,53.18
2026-08-11,XLC,,21723451392.0,111.83
2026-08-11,XLE,186424000.0,39209267200.0,60.18
2026-08-11,XLF,883444992.0,57884381184.0,57.81
2026-08-11,XLI,136626000.0,32876894208.0,184.6
2026-08-11,XLK,,115410993152.0,186.32
2026-08-11,XLP,210172000.0,14550159360.0,84.95
2026-08-11,XLRE,,8563283968.0,44.4
2026-08-11,XLU,163274000.0,23064174592.0,43.13
2026-08-11,XLV,,41749876736.0,168.44
2026-08-11,XLY,,22456301568.0,119.67
2026-08-12,XLB,71923696.0,8255610880.0,53.24
2026-08-12,XLC,,21723451392.0,111.27
2026-08-12,XLE,186424000.0,39209267200.0,60.93
2026-08-12,XLF,883444992.0,57884381184.0,57.8
2026-08-12,XLI,136626000.0,32876894208.0,185.7
2026-08-12,XLK,,115410993152.0,186.09
2026-08-12,XLP,210172000.0,14550159360.0,84.69
2026-08-12,XLRE,,8563283968.0,44.08
2026-08-12,XLU,163274000.0,23064174592.0,43.63
2026-08-12,XLV,,41749876736.0,168.01
2026-08-12,XLY,,22456301568.0,119.24
2026-08-13,XLB,71923696.0,8255610880.0,52.58
2026-08-13,XLC,,21723451392.0,110.27
2026-08-13,XLE,186424000.0,39209267200.0,61.03
2026-08-13,XLF,883444992.0,57884381184.0,57.92
2026-08-13,XLI,136626000.0,32876894208.0,185.88
2026-08-13,XLK,272056000.0,115410993152.0,188.86
2026-08-13,XLP,210172000.0,14550159360.0,85.08
2026-08-13,XLRE,,8563283968.0,44.49
2026-08-13,XLU,163274000.0,23064174592.0,43.84
2026-08-13,XLV,197415008.0,41749876736.0,168.44
2026-08-13,XLY,120253000.0,22456301568.0,117.89
2026-08-14,XLB,71923696.0,8255610880.0,52.31
2026-08-14,XLC,,21723451392.0,112.55
2026-08-14,XLE,186424000.0,39209267200.0,61.06
2026-08-14,XLF,883444992.0,57884381184.0,58.26
2026-08-14,XLI,136626000.0,32876894208.0,185.79
2026-08-14,XLK,272056000.0,115410993152.0,190.77
2026-08-14,XLP,210172000.0,14550159360.0,86.0
2026-08-14,XLRE,,8563283968.0,45.12
2026-08-14,XLU,163274000.0,23064174592.0,44.04
2026-08-14,XLV,197415008.0,41749876736.0,168.38
2026-08-14,XLY,120253000.0,22456301568.0,118.45
2026-08-17,XLB,71923696.0,8255610880.0,52.54
2026-08-17,XLC,,21723451392.0,112.95
2026-08-17,XLE,186424000.0,39209267200.0,61.91
2026-08-17,XLF,883444992.0,57884381184.0,58.16
2026-08-17,XLI,136626000.0,32876894208.0,186.51
2026-08-17,XLK,272056000.0,115410993152.0,190.01
2026-08-17,XLP,210172000.0,14550159360.0,86.09
2026-08-17,XLRE,,8563283968.0,45.27
2026-08-17,XLU,163274000.0,23064174592.0,44.31
2026-08-17,XLV,197415008.0,41749876736.0,167.37
2026-08-17,XLY,120253000.0,22456301568.0,118.2
2026-08-18,XLB,71923696.0,8255610880.0,52.24
2026-08-18,XLC,,21723451392.0,110.82
2026-08-18,XLE,186424000.0,39209267200.0,62.58
2026-08-18,XLF,883444992.0,57884381184.0,57.58
2026-08-18,XLI,136626000.0,32876894208.0,186.32
2026-08-18,XLK,272056000.0,115410993152.0,190.32
2026-08-18,XLP,210172000.0,14550159360.0,84.68
2026-08-18,XLRE,,8563283968.0,44.83
2026-08-18,XLU,163274000.0,23064174592.0,44.18
2026-08-18,XLV,197415008.0,41749876736.0,167.05
2026-08-18,XLY,120253000.0,22456301568.0,116.75
